eiken3,famous,有名な(形容詞)
eiken3,weekend,週末に(名詞)
eiken3,soon,まもなく;すぐに(副詞)
eiken3,still,まだ(副詞)
eiken3,popular,人気の(形容詞)
eiken3,practice,練習する(動詞)
eiken3,during,～の間(前置詞)
eiken3,enjoy,楽しむ(動詞)
eiken3,favorite,お気に入りの(形容詞)
eiken3,sell,を売る(動詞)
eiken3,bring,持って来る(動詞)
eiken3,expensive,高価な;費用のかかる(形容詞)
eiken3,join,参加する(動詞)
eiken3,so,とても(副詞)
eiken3,leave,去る;残す;置いて行く(動詞)
eiken3,enough,十分な(形容詞)
eiken3,happen,起こる(動詞)
eiken3,different,違った(形容詞)
eiken3,invite,招待する(動詞)
eiken3,plan,計画する(動詞)
eiken3,ask,たずねる(動詞)
eiken3,until,まで;までは(前置詞)
eiken3,almost,ほとんど(副詞)
eiken3,sick,病気の(形容詞)
eiken3,excited,興奮した(形容詞)
eiken3,science,科学(名詞)
eiken3,library,図書館(名詞)
eiken3,visit,訪問する(動詞)
eiken3,cheap,安い(形容詞)
eiken3,then,そのとき(副詞)
eiken3,show,見せる(動詞)
eiken3,instead,そのかわりに(副詞)
eiken3,garden,庭(名詞)
eiken3,meet,会う(動詞)
eiken3,by,のそばに、によって(前置詞)
eiken3,stay,滞在する(動詞)
eiken3,hope,望む(動詞)
eiken3,delicious,おいしい(形容詞)
eiken3,together,一緒に(副詞)
eiken3,decide,決心する(動詞)
eiken3,later,後に(副詞)
eiken3,festival,祭り(名詞)
eiken3,vacation,休暇(名詞)
eiken3,own,自分の(形容詞)
eiken3,noon,正午(名詞)
eiken3,important,重要な(形容詞)
eiken3,remember,思い出す(動詞)
eiken3,nervous,あがっている(形容詞)
eiken3,look,見る(動詞)
eiken3,weather,天気(名詞)
eiken3,grow,育てる(動詞)
eiken3,carry,運ぶ(動詞)
eiken3,heavy,重い(形容詞)
eiken3,sure,確信して(形容詞)
eiken3,arrive,到着する(動詞)
eiken3,borrow,借りる(動詞)
eiken3,place,場所(名詞)
eiken3,break,壊れる;破る(動詞)
eiken3,June,6月(名詞)
eiken3,usually,普通は(副詞)
eiken3,win,勝つ(動詞)
eiken3,healthy,健康な(形容詞)
eiken3,sign,標識(名詞)
eiken3,maybe,たぶん(副詞)
eiken3,hurt,を傷つける(動詞)
eiken3,dictionary,辞書(名詞)
eiken3,put,置く(動詞)
eiken3,difficult,難しい(形容詞)
eiken3,when,～するとき(接続詞)
eiken3,beside,横に(前置詞)
eiken3,strong,強い(形容詞)
eiken3,believe,信じる(動詞)
eiken3,sad,悲しい(形容詞)
eiken3,should,～すべきである(助動詞)
eiken3,clock,置き時計(名詞)
eiken3,million,100万(名詞)
eiken3,bright,明るい(形容詞)
eiken3,again,もう一度、再び、また(副詞)
eiken3,hear,聞く(動詞)
eiken3,cook,料理する(動詞)
eiken3,drive,運転する(動詞)
eiken3,face,顔(名詞)
eiken3,get,得る(動詞)
eiken3,find,見つける(動詞)
eiken3,lake,湖(名詞)
eiken3,really,本当に(副詞)
eiken3,sometimes,時々(副詞)
eiken3,exciting,興奮させる(形容詞)
eiken3,write,書く、手紙を書く(動詞)
eiken3,make,作る、～を～にする(動詞)
eiken3,tall,高い(形容詞)
eiken3,guess,推測する(動詞)
eiken3,July,7月(名詞)
eiken3,information,情報(名詞)
eiken3,pay,支払う(動詞)
eiken3,season,季節(名詞)
eiken3,already,すでに、もう(副詞)
eiken3,March,3月(名詞)
eiken3,wear,着る(動詞)
eiken3,university,大学(名詞)
eiken3,math,数学(名詞)
eiken3,people,人々(名詞)
eiken3,care,注意する、世話する(動詞)
eiken3,invent,を発明する(動詞)
eiken3,large,大きい、広い(形容詞)
eiken3,bank,銀行(名詞)
eiken3,prize,賞(名詞)
eiken3,save,節約する(動詞)
eiken3,clothes,服(名詞)
eiken3,museum,博物館(名詞)
eiken3,choose,選ぶ(動詞)
eiken3,cousin,いとこ(名詞)
eiken3,everywhere,どこでも(副詞)
eiken3,plant,植物(名詞)
eiken3,try,試す(動詞)
eiken3,if,もし～なら(接続詞)
eiken3,another,もう一つの(形容詞)
eiken3,meaning,意味(名詞)
eiken3,hit,打つ(動詞)
eiken3,angry,怒った、腹を立てた(形容詞)
eiken3,map,地図(名詞)
eiken3,dirty,汚い(形容詞)
eiken3,promise,約束(名詞)
eiken3,problem,問題(名詞)
eiken3,who,だれ(代名詞)
eiken3,what,何(代名詞)
eiken3,how,どのぐらい(副詞)
eiken3,customer,顧客(名詞)
eiken3,once,かつて(副詞)
eiken3,twice,2回(副詞)
eiken3,salt,塩(名詞)
eiken3,notice,気づく(動詞)
eiken3,collect,集める(動詞)
