eiken1,diplomatic,外交の;外交上の
eiken1,alongside,と一緒に;並行して
eiken1,narrative,物語;話
eiken1,contamination,汚染;汚染物質
eiken1,stark,正真正銘の;純粋な
eiken1,refusal,拒否;拒絶
eiken1,doctrine,教義;信条
eiken1,organic,無農薬の;有機の
eiken1,hypothesis,仮説;推測
eiken1,evolutionary,進化的な;進化論の
eiken1,archaeological,考古学の
eiken1,subsequent,その後の;次の
eiken1,contractor,請負業者;契約者
eiken1,skeptical,懐疑的な;疑い深い
eiken1,bribery,賄賂の授受;贈収賄
eiken1,treadmill,踏み車;ルームランナー
eiken1,resume,再開する;続ける
eiken1,hierarchical,階層的な;階級制の
eiken1,nourishment,栄養;滋養
eiken1,credibility,信頼性;信用
eiken1,dissent,異議を唱える;反対する
eiken1,proliferation,拡散;増殖
eiken1,controversy,論争;議論
eiken1,sympathetic,思いやりのある;共感的な
eiken1,round up,寄せ集める;切り上げる
eiken1,supposedly,たぶん;おそらく
eiken1,patriotism,愛国心;忠誠心
eiken1,disappearance,失踪;消滅
eiken1,tragic,悲劇的な;悲劇的
eiken1,implant,植え付ける;移植する
eiken1,accounting,会計;計算
eiken1,bout,試合;競技
eiken1,hold over,を持ち越す;延期する
eiken1,biased against ,に対する偏見;偏った見方
eiken1,puppy,子犬;幼犬
eiken1,semester,学期;学期間
eiken1,refund,払い戻す;返金する
eiken1,diabetes,糖尿病;高血糖症
eiken1,organ,臓器;器官
eiken1,prod,突く;呼び起こす
eiken1,drawback,欠点;短所
eiken1,prospective,予測される;期待される
eiken1,pay off,全部払う;完済する
eiken1,exclusively,排他的に;限定して
eiken1,dosage,投与量;服用量
eiken1,epic,大作;壮大な作品
eiken1,consistently,一貫して;常に
eiken1,believe in,を信じる;信用する
eiken1,commerce,商業;商売
eiken1,segment,区切り;部分
eiken1,plebiscite,国民投票;普通選挙
eiken1,pack up,を荷造りする;詰める
eiken1,make ends meet,収支を合わせる;つじつまを合わせる
eiken1,put A aside,Aを脇に置く;Aを放置する
eiken1,conception,概念;考え
